,label,tweet
36,2, Hey any chance you have an update on Flight 99 Hartford to D.C.?
37,2,Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629
38,0,@kirstiealley my dentist is great but she's expensive...=(
39,0,whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs
40,4,loves chocolate milk  and that is GF YEAH..
41,4,@DonnieWahlberg I can tell u have spoken. FB &amp; Twitter are on Fire right now!!  Hope ur feelin better love.  have a great night...
42,2,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv"
43,4,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!"
44,4,@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! 
45,4,heyy loves!! just finished my record in the studio!! going to kick it with lauren c.!!  byee!! &lt;3
46,4,@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.
47,2,Apples not even barely doing anything a couple features here and there google has got self driving car Google glass google tango project ara
48,4,I loved today 
49,2,"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s"
50,2,"  we don't have much data on IND balls, but likely started at higher PSI / lower tmp than pats balls. #DeflateGate"
51,0,fucking faggots @apple
52,4,Fine-tuning part of a song Maddy and I r making.  Sounding good. I feel pro. Not. Hahaha
53,4,@amp451 good night  sweet dreamz
54,4,@SophieVeronica today was rad. we made it into the finals for cross country YAY. love you sophie &lt;3 (L) ps everythins cool with my mates 
55,4, now I'm happy 
56,0,"@amazingphoebe mmh, you are stupid sometimes, but not as much as me, for i am the stupid, fucked up, retarded one in our relationship "
57,2, they do its called Google car
58,4,"Night at the Museum, Wolverine and junk food - perfect monday!"
59,2,playing with cURL and the Twitter API
60,0,"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)"
61,0,"@united your SFO-YYJ fight is Cancelled Flightled several times each week, why even bother?"
62,4,@the_real_usher LeBron is cool.  I like his personality...he has good character.
63,0,fucking Google car in hiawatha!
64,2,First dentist appointment [in years] on Wednesday possibly.
65,0,"this hockey band look like mgmt+3, but fucking hell they're good. sabrepulse come back too "
66,0,"........*sigh* long distance i fucking hate it.  but on the brighter side,random ass road trip to famu today.then fort valley monday! oboy"
67,4,Back when I worked for Nike we had one fav word : JUST DO IT! :)
68,2,just landed at San Francisco
69,0,Ugh studying today. I need a study place/study buddy! Anyone into it?! Its also lovely out   fuck the leaving cert.
70,4,Just got my new toy. Canon 50D. Love love love it!
71,2,: #DeflateGate #Ballghazi #BallGate All Tom Brady and Belichick have to do is say they are long time democrats and base …
72,2,"UP! was sold out, so i'm seeing Night At The Museum 2. I'm __ years old."
73,2, Hi guys checking in US/AA 639 JFK PHX and renewed Admirals Club today.
74,0,"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html"
75,0,so tired. i didn't sleep well at all last night.
76,4,Google has a self driving car!!!! Awesome
77,0,could time-warner cable suck more?  NO.
78,2,Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush
79,4,"um, can i have it tmrrw? â€œ@engadget: Would you buy a self-driving car powered by @Google?"" http://t.co/Dk0YZSeaXK http://t.co/2pkm4y61z6â€"
80,4,@seanjs I'd like to own a completely redesigned self-driving car with (among other things) the front seats reversed.
81,2,Going to see night at the museum 2 with tall boy
82,4,Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p
83,4,I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them
84,2,What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO
85,0,OMFG I'm never drinking again...I still have a fuckin sore throat 
86,4,â€œ@FacesPics: Google's new self-driving car http://t.co/qymxdTW1D9â€ I watched something on this earlier HOLY CRAP
87,0,@united 1.75 hour delay.  Nothing says sorry like a voucher.  Missing time with family.  #family #precioustime
88,2,@ronjon we don't have Safeway.
89,0,@blackbarbie027 my entire college. They fucking lost my transcript now I can't attend in the Summer to catch up w/ my credits 
90,2,Is Eating and Watching Movies....
91,4,@poptopvw Cool arent they? I love them  Makes life so easy!
92,2, thanks bae
93,2, will you check the air pressure on  truck. I think his tires might need some air. #DeflateGate #GOBRONCOS #LSULSU
94,4,@united Thanks to supervisor Miriam who provided me with great customer service. #finally
95,4,I love my Kindle2. No more stacks of books to trip over on the way to the loo.
96,2,  I made a #DeflateGate Sad Einstein Brady for you: /Vh80XLd7az
97,4,@wmmarc great interview! Glad to see it 
98,2,Check this video out -- David After Dentist http://bit.ly/47aW2
99,4,"@united hey awesome!  Thanks for the reply, will be filling the form out! @AmericanAir"
100,4,"@DonnieWahlberg Yessirrr! Don't give anyone that much power, do what makes you happy...that's why I'll be seeing you in da summah!! "
101,0,@apple U need to get ur fucking shit together and let me txt while on YouTube
102,2,"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ..."
103,2,How is an automated vehicle supposed to behave in an emergency? #AutoAuto
104,2,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)
105,0,Leavin for shauns. fuck grandparents get around slow. text me or tweet me. @Ariannagrace321 you stopped textin me 
106,2,We already have self driving cars on the road. They're just waiting for the ok by the government for the software to be activated.
107,0,My son disowned me over a PS3.that bites.going 2 dr 2moro u know ya fucked when u hope that find somethin fatal  life blows
108,2,@ruby_gem My primary debit card is Visa Electron.
109,2,â€œ: Toyota to reveal self driving car research at CES /V9VMgILBâ€
110,0,Time Warner cable is down again 3rd time since Memorial Day bummer!
111,0,"If Google's self-driving car is the future, I don't want to be a part of it. #savethemanuals"
112,0,@Lucasbamf I'm so close to buying a new car.I had a near death experience in the car today with the train and fucked up ALL my wheel grip 
113,0,looks like summize has gone down. too many tweets from WWDC perhaps?
114,4,"@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!"
115,2,New post on my blog: Got new cases. :)    #slc #citycreek #apple #applestore #red #pr... /S4XRRXR8uq
116,0,Gawd! My laptop is fucked up now! System Error?! Just using my Lil brother's laptop. 
117,4,@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!
118,2,"I'm going to bed. It was a successful weekend. Stanford, here I come."
119,0,"@petewentz @petewentz fuck  I wish I was in Houston. Shawn Connery, Peirce bronson, timothy dalton, roger Moore. And that's all I know"
120,0,Time warner is the devil. Worst possible time for the Internet to go out.
121,4,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!
122,4,city all day soo happy to be home. school in the morning 
123,0,again with the fucked sleep... ive decided to go do homework instead 
124,0,@foxnews Pelosi should stay in China and never come back.
125,4,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.
126,4,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9
127,0,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!
128,0,Time Warner's HD line up is crap.
129,2, and The from  Team to Offer In-#Flight Access to Journal ... - Nassau News Live /7E5bxwG16t
130,4,so sleepy. good times tonight though 
131,2,Great post by  on how public investors should think about investing in a world with self driving cars /FphlmnKtp7
132,0,@united 3866 is at a stand still! No pilot or paperwork for fix over 25mins! Problem was fixed 30mins ago. Flight is as is delayed!
133,4,"@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? "
134,0,"Driverless car slams into AZ home inches from sleeping kids: According to a police report, a truck smashed into a... http://t.co/8ibfetj9dS"
135,4,"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen"
136,4,Callin it a night! I always have the best sleep after a good workout!! 
137,0,@Dommm did comcast fail again??
138,4,@warp I love that Aussie cattle dog story 
139,0,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :("
140,4,"@KnightOwl89 Sounds good,  I wish i could have done it but I'm determined to find them in the park. They better be in there!"
141,4,"Self-driving cars hold 'great promise' for saving thousands of lives, says US government official http://t.co/adOyi8bF"
142,4,Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.
143,4,@jonduenas @robynlyn just got us a 50D for the office. :D
144,4,@united can I just go ahead and live in your premium cabins? I'm in heaven now en route to LHR
145,2,Should really check the air pressure in my tires more often. They were as bad as a New England #Patriots football. #DeflateGate
146,0,Fuck no internet damn time warner!
147,2,Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5
148,2,States take the wheel on #driverless cars /R6kp8ZKOyq via  #fb
149,0,"So google has a driver-less car? They can take the steering wheel away from my cold, dead hands before i buy one."
150,2, sent
151,4,"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha."
152,4,"...so i just ordered my copy of Hardcore Underground 3  love me, love me! Canary in skinny jeans going balls deep."
153,4,using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!
154,0,Time Warner Cable slogan: Where calling it a day at 2pm Happens.
155,4,@united Fantastic job by your people today on ua22 from Dublin. A jam packed plane but the crew was wonderful!!
156,0,Asthma fucking BLOWS  Can't wait till I finish up Asmanex treatments. Follow up (and hopefully final) apt w/ pulmonologist is this week.
157,4,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*"
158,0,"is jammin to ATL, since they had a secret show in HTown and i fucking missed it.  FML."
159,2," when I click that link it wants my flight info. I haven't booked a flight yet. I read you waive fees for military, it this true?"
160,4,Watching Lebron highlights. Damn that niggas good
161,4,@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!
162,0,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU
163,0,omg so bored &amp; my tattoooos are so itchy!!  help! aha =)
164,0,Driverless cars are not worth the risk.  Don't want to be on the highway when the server crashes #SadMacFace #BlueScreenofDeath
165,4,"@khalid0456 No, Lebron is the best"
166,0,My Dell Laptop's battery is fucked up! 
167,4,@DonnieWahlberg My kids get up and wish you a good morning  They don�t know what time it is in america 
168,4,My Kindle2 came and I LOVE it! :)
169,0,Bloated as fuck. 1l choc milk will do that followed by 2 bagels with spinach and cheese. 
170,0,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple"
171,0,@petewentz @trohman @fuckcity omg i'm so so sorry guys  that's really sad. I hope you're safe now.
172,4,"@united thanks for the re-upgrade to 1st class. It may be a 45 min flight, but it is appreciated."
173,4,@united and they were traveling as guests of a mileage plus member using that members miles. Great customer service.
174,2,The baby from American Sniper was also under-inflated #DeflateGate
175,0,"What is this I am hearing about driverless cars coming out? Da fuck? Are people that lazy, that just seems dangerous as all hell."
176,4,"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?"
177,2,eating sashimi
178,4,"Automotive technology: Driver-less cars will reduce accidents, ease congestion."
179,0,@JessicaRayburn I accidentally stepped on my Power Strip off button and now my internets are fucked up DAMMIT 
180,4,@Pmillzz lebron IS THE BOSS
181,2,Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china
182,4,Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI
183,0,What the fuck is the point of a driverless car
184,2,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
185,2, I sent the message. Let me know ASAP.
186,2,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8"
187,4,Reading my kindle2...  Love it... Lee childs is good read.
188,4,"@Orli the G2 is amazing btw, a HUGE improvement over the G1"
189,4,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! 
190,4,"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio"
191,2,The perks of driving around in the Bay area. A Google Self-Driving Car might show up next to you /iIkJNaZte7
192,4,Video of the first user of @Google 's self driving car (lost 95% of his vision - well past legally blind) http://t.co/wk6qeQIF #amazing
193,4,@heidimontag I think that it's going to be a good season 
194,4,just got back from the movies.  went to see the new night at the museum with rachel.  it was good
195,0,I've been in the car for 12 hours  No fucking joke we went to santa cruz for 30 mins then had to go. Hella ghey.
196,2,at safeway with dad
197,4,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet"
198,0,cant sleep... my tooth is aching.
199,4,Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl
200,0,Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala
201,2,Jake's going to safeway!
202,4,@JonathanRKnight Glad to hear that you had such a great night! You rock &amp; I hope tonight is just the 1st of many feel good shows for you! 
203,0,"Driverless cars, medical chips, scan and buy through your phone. I need to get the fuck out of this country."
204,0,100% against  driverless car. #cbs
205,4,happy to spend time with the family. 
206,4,@united sorry to hear outsourcing plan. Boise is best staff/cust service in the country. #boise
207,0,@littleben2009 no way would I put my trust in a driverless car. That's were they would lose people.
208,0,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple
209,4,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.
210,4,@ronashively Connections Academy has been great for our family...and thousands more across the country!  Happy to tell you more 
211,2,"NFL plz focus as intently on id-ing ""Who Let The Air Out"" of Patriots balls as in forcing SeaHawks #MarshawnLynch to talk.
#DeflateGate"
212,2,Send us your GM/Chevy photos http://tinyurl.com/luzkpq
213,0,Damn you North Korea. http://bit.ly/KtMeQ
214,4,saw the new Night at the Museum and i loved it. Next is to go see UP in 3D
215,2,10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn
216,4,"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!"
217,4,Lyx is cool.
218,4,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too"
219,0,Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.
220,2,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz"
221,0,Since when did @apple stop replacing iPhone units due to defect? Just because I have some scratches on my phone doesn't mean I dropped it.
222,2,"""I deflate all the balls."" -   #DeflateGate"
223,0,heyya im so borde my sound card is fucked so i cant listen to music  btw by that i mean mcr  lol
224,0,"wth..i have never seen a line this loooong at time warner before, ugh."
225,4,Google is developing a self driving car. That's fucking awesome.
226,0,i am furious with time warner and their phone promotions!
227,2,Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship
228,2,Google came out with a self driving car ðŸ˜±ðŸ˜±
229,0,@kyleconnecticut no fucking way. 
230,0,Oh my fucking god my stomach is growling 
231,4,@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!
232,4,"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it."
233,0,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it
234,4,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.
235,0,I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)
236,4,"@levimorales glad you liked! That Henry Ford had a good idea every now and then, didn't he? "
237,4,@FastCoDesign I am so excited for this! Come on self-driving cars.
238,2,Bout to hit safeway I gotta eat
239,4,"@JonathanRKnight Hey Jon we all love ya and understand,that's all it counts  "
240,2,Taking Katie to see Night at the Museum.  (she picked it)
241,0,"just got back from church, and I totally hate insects."
242,0,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?
243,0,"At safeway on elkhorn, they move like they're dead!"
244,0,@ Safeway. Place is a nightmare right now. Bumming.
245,0,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic
246,4,Off to the NIKE factory!!!
247,2,45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ
248,0,"Higher physics exam tommorow, not lookin forward to it much :("
249,0,fucking ugh 
250,0,@morind45 Because the twitter api is slow and most client's aren't good.
251,2,Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM)
252,4,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu
253,4,Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!
254,0,@united space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united
255,4,@united is officially my favorite airline. They have created magic for me all day!!! #friendlyskies #careyon
256,4,Self-Driving Car Test: Steve Mahan this is amazing. #Google http://t.co/DtYD3PF9ZG
257,4,@united Got me home amid snow &amp; Cancelled Flightlations; delivered bag w/o hassle; plus no wait on phone &amp; an upgrade. Thank you!
258,0,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
259,2,"Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448"
260,4,So cool! RT @wired: Score! California becomes second state (after Nevada) to legalize driverless cars: http://t.co/CC69aU9b
261,4,"Saw the Google Car again. Asked if I could drive. The driver showed me how the car can ""see"". Awesomeâ€¦ http://t.co/HTuaMykMsy"
262,0,I'm not high anymore and some stinky guy with a mail order bride is pissing me the fuck off.. 
263,2,Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town.
264,4,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM
265,0,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
266,4,@noarmsjames my lovely man is cooking me dinner and then we're going for a walk 
267,4,Could go for a lot of McDonalds. i mean A LOT.
268,4,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune"
269,4,just got a free G2 android at google i/o!!!
270,4,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"
271,2,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin
272,0,"ten years ago today I was running around in shorts and a tee shirt in nice weather. 2009, it's fucking snowing and freezing cold "
273,4,LAKERS tonight let's go!!!!
274,4,Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!
275,2,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.
276,0,"@sportsguy33 Ummm, having some Time Warner problems?"
277,2,: This was pretty funny thanks Dad #DeflateGate #GoPats /ppQC7hQ0UT
278,2,ok.. do nothing.. just thinking about 40D
279,0,Why is it that someday you look nearly good and the next day you look totally fucked up? Today is the next day 
280,2,"Oh, look. It's acutally one of the Google self driving cars on the freeway.   880 North /ExLJcptl"
281,4,http://is.gd/ArUJ Good video from Google on using search options.
282,0,and I broke a fucking nail. 
283,4,@united -today the staff @ MSP took customer service to a new level. My father passed away last night &amp; you helped me get home today! Thanks
284,4,@YarnThing you will not regret going to see Star Trek. It was AWESOME!
285,2,How do you use the twitter API?... http://bit.ly/4VBhH
286,0,Eminem We Made You is GAWBAGE[/Rosci] !  Imma cop Asher Roth's album instead fuck em on his &quot;ass like that &quot; flow
287,2,", flights 1970, 1366, and 1552 will fly over after 1 am on your way into  - mind taking ocean approach so we can sleep?"
288,4,lebron and zydrunas are such an awesome duo
289,4,Total believe it @mashable: Google's Driverless Car Is Now Safer Than the Average Driver - http://t.co/gF125DA3
290,4,is scrapbooking with Nic =D
291,4,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.
292,0,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.
293,4,@united you guys have such big hearts.. keep up the good work
294,2,"Eating dinner. Meat, chips, and risotto."
295,0,i have fucking shin splints!!!! im in pain.....DRUGS PLEASE......i never realised they could be so painful 
296,4,The Times of India: The wonder that is India's election. http://bit.ly/p7u1H
297,0,iOS 8.1 has fucked my battery life on my iPhone 6. Really starting to wonder if @apple has any quality control anymore. Wish I was on 8.01
298,2,"Saw the  car just outside of Barnwell, #Alberta in #Taber ðŸ˜€ half hour east of #Lethbridge"
299,0,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders
300,4,@united thank you! 😊
301,0,@united is there a United gold number? I've been on hold 24 minutes and think I may be lost in nowhereland. Have a gold reservation. Help.
302,2, add DTW and I'm sold!
303,2,@mattcutts have google profiles stopped showing up in searches? cant see them anymore
304,0,Arg. Twitter API is making me crazy.
305,2,Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7
306,4,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2
307,0,insects have infected my spinach plant :(
308,0,ShaunWoo hate'n on AiG
309,4,These self driving cars are fucking amazing
310,0,itchy back!! dont ya hate it!
311,4,#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.
312,4,@bluestreak23 @jasonandjodie Coming soon enough my friends - Big project in works for just that - Good new and only good news 
313,4,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR
314,0,stupid autonomous car  if you can drive yourself you should be able to write a damn research paper on yourself too
315,2,I keep seeing a lot of people talk about seeing the Google maps car and I'm just like oh I've seen the Google self-driving car so ðŸ’ðŸš˜
316,4,@united thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a 2+ hour layover. Nice job
317,4,unbelievably excited about the google self-driving car
318,0,"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012"
319,4,@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.
320,4,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.
321,4,"@united cool, thanks."
322,2,Weird Piano Guitar House in China! http://u2s.me/72i8
323,4,I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.
324,2,@stevemoakler i had a dentist appt this morning and had the same conversation!
325,4,I want that google car that drives itself
326,0,I got new pillows and They fucking pwn all pillows everywhere else. My only regret is that I cant use them for very long tonight. 
327,4,"well in that case, you know what i mean, hahaha i love a good...whatever role you decide to take on. "
328,2, What confirmation number?
329,0,Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.
330,4,"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha"
331,2,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
332,4,@united @parryaftab done thnx
333,2,"I think I may have a new favorite restaurant. On our way to see ""Night at the Museum 2""."
334,4,@jenniferdaniel: As someone who never learned how to drive I welcome our google car overlords.
335,0,@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil
336,4,"I can't wait, going to see star trek tonight!!"
337,0,Driverless Cars: Now Street-Legal in California ... a good reason to leave CA... no one is behind the wheel http://t.co/1keEMOpH
338,0,Can we just go ahead and blow North Korea off the map already?
339,4,"After using LaTeX a lot, any other typeset mathematics just looks hideous."
340,0,"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass"
341,4,"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election."
342,0,"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more."
343,0,Driver less cars? Fuck that I don't want machines ruling the world FTW
344,4,We just saw a self driving Google car!! So awesome!
345,0,fucking bored 
346,0,"Thanks for share. Driverless cars won't make us thinner, healthier, happier â€œ@transitfok: Driverless cars and sprawl http://t.co/q6OI1IfwLhâ€"
347,0,is annoyed that we aren't trusted because they have no idea how many plans that fucks up 
348,0,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.
349,4,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)
350,4,@Jonathanrknight so good knight and sleep well.  I know I will now!! 
351,2,":   
If Starbucks shuts down, anon is decimated"
352,0,"I just fucked up my already fucked ankle because some moron thought it was a good idea to freak me out, and I slipped on ice at my door. "
353,2,Imagine a world where 's self driving car merges with  and ? #itscoming #codecon
354,0,@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?
355,0,Sadie hates the google car. ðŸ˜‚
356,2,â€œ: Di Caro uses the last question to ask about driverless cars. #Mocotranspoâ€ wild card question.
357,0,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg"
358,4,wow san diego is so beautiful. even more so now that we won  but whats a good game without a good fight(;
359,4,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style."
